property_id,event_name,date,price,price_range_min,price_range_max,price_changed,sqft,datasource_name,source
M3765374720,Price Changed,2020-10-12T17:00:00Z,225000,,,5000,1075,BrightMLS,MLS #PAPH943486
M3765374720,Listed,2020-10-09T17:00:00Z,220000,,,0,1075,BrightMLS,MLS #PAPH943486
M3765374720,Sold,2011-07-01T17:00:00Z,155000,,,0,1075,BrightMLS,MLS #5888979
M3765374720,Listed,2011-05-18T17:00:00Z,165000,,,0,1075,BrightMLS,MLS #5888979
M3765374720,Sold,1997-03-04T17:00:00Z,90000,,,0,1075,,Public Record
M3765374720,Sold,1987-07-24T17:00:00Z,78000,,,0,1075,,Public Record
M3765374720,Sold,1984-07-01T17:00:00Z,58000,,,0,1075,,Public Record
