property_id,event_name,date,price,price_range_min,price_range_max,price_changed,sqft,datasource_name,source
M3597845262,Listed,2020-07-14T17:00:00Z,139900,,,0,1816,BrightMLS,MLS #PAPH914646
M3597845262,Price Changed,2020-03-17T17:00:00Z,129900,,,-5000,1816,BrightMLS,MLS #PAPH871382
M3597845262,Price Changed,2020-03-03T17:00:00Z,134900,,,-15000,1816,BrightMLS,MLS #PAPH871382
M3597845262,Listed,2020-02-13T17:00:00Z,149900,,,0,1816,BrightMLS,MLS #PAPH871382
M3597845262,Sold,2007-06-01T17:00:00Z,90000,,,0,1688,BrightMLS,MLS #4952604
M3597845262,Listed,2007-02-26T17:00:00Z,90000,,,0,1688,BrightMLS,MLS #4952604
