property_id,event_name,date,price,price_range_min,price_range_max,price_changed,sqft,datasource_name,source
M4130484657,Price Changed,2020-11-03T17:00:00Z,464000,,,-900,0,BrightMLS,MLS #PAPH942730
M4130484657,Listed,2020-10-08T17:00:00Z,464900,,,0,0,BrightMLS,MLS #PAPH942730
M4130484657,Listed,2020-08-25T17:00:00Z,465000,,,0,2100,BrightMLS,MLS #PAPH928646
M4130484657,Price Changed,2020-07-20T17:00:00Z,475000,,,-15000,2100,BrightMLS,MLS #PAPH893520
M4130484657,Price Changed,2020-07-08T17:00:00Z,490000,,,-9500,2100,BrightMLS,MLS #PAPH893520
M4130484657,Price Changed,2020-05-27T17:00:00Z,499500,,,-15500,2100,BrightMLS,MLS #PAPH893520
M4130484657,Listed,2020-05-08T17:00:00Z,515000,,,0,2100,BrightMLS,MLS #PAPH893520
M4130484657,Listed,2020-03-03T17:00:00Z,525000,,,0,2100,BrightMLS,MLS #PAPH877742
M4130484657,Listed,2019-10-29T17:00:00Z,485000,,,0,2033,BrightMLS,MLS #PAPH846034
M4130484657,Sold,2018-12-04T17:00:00Z,115000,,,0,0,BrightMLS,MLS #PAPH259526
M4130484657,Sold,2018-10-15T17:00:00Z,115000,,,0,0,,Public Record
M4130484657,Sold,2018-10-05T17:00:00Z,115000,,,0,0,,Public Record
M4130484657,Listed,2018-08-06T17:00:00Z,115000,,,0,0,BrightMLS,MLS #PAPH259526
