property_id,event_name,date,price,price_range_min,price_range_max,price_changed,sqft,datasource_name,source
M3450001272,Price Changed,2020-10-24T17:00:00Z,875000,,,-25000,0,BrightMLS,MLS #PAPH915182
M3450001272,Price Changed,2020-10-24T17:00:00Z,875000,,,-25000,1444,BrightMLS,MLS #PAPH915186
M3450001272,Price Changed,2020-10-12T17:00:00Z,900000,,,-25000,0,BrightMLS,MLS #PAPH915182
M3450001272,Price Changed,2020-10-12T17:00:00Z,900000,,,-25000,1444,BrightMLS,MLS #PAPH915186
M3450001272,Price Changed,2020-10-01T17:00:00Z,925000,,,-25000,1444,BrightMLS,MLS #PAPH915186
M3450001272,Price Changed,2020-10-01T17:00:00Z,925000,,,-25000,0,BrightMLS,MLS #PAPH915182
M3450001272,Price Changed,2020-09-22T17:00:00Z,950000,,,-25000,1444,BrightMLS,MLS #PAPH915186
M3450001272,Price Changed,2020-09-22T17:00:00Z,950000,,,-25000,0,BrightMLS,MLS #PAPH915182
M3450001272,Price Changed,2020-09-11T17:00:00Z,975000,,,-25000,1444,BrightMLS,MLS #PAPH915186
M3450001272,Price Changed,2020-09-11T17:00:00Z,975000,,,-25000,0,BrightMLS,MLS #PAPH915182
M3450001272,Price Changed,2020-09-04T17:00:00Z,1000000,,,-275000,0,BrightMLS,MLS #PAPH915182
M3450001272,Price Changed,2020-09-04T17:00:00Z,1000000,,,-275000,1444,BrightMLS,MLS #PAPH915186
M3450001272,Listed,2020-07-15T17:00:00Z,1275000,,,0,1444,BrightMLS,MLS #PAPH915186
M3450001272,Listed,2020-07-15T17:00:00Z,1275000,,,0,0,BrightMLS,MLS #PAPH915182
M3450001272,Price Changed,2019-10-10T17:00:00Z,1257000,,,257000,0,BrightMLS,MLS #PAPH790596
M3450001272,Price Changed,2019-10-10T17:00:00Z,1257000,,,257000,1444,BrightMLS,MLS #PAPH790520
M3450001272,Price Changed,2019-06-30T17:00:00Z,1000000,,,-275000,0,BrightMLS,MLS #PAPH790596
M3450001272,Price Changed,2019-06-30T17:00:00Z,1000000,,,-275000,1444,BrightMLS,MLS #PAPH790520
M3450001272,Listed,2019-04-25T17:00:00Z,1275000,,,0,0,BrightMLS,MLS #PAPH790596
M3450001272,Listed,2019-04-25T17:00:00Z,1275000,,,0,1444,BrightMLS,MLS #PAPH790520
M3450001272,Sold,1995-08-25T17:00:00Z,118000,,,0,1444,,Public Record
M3450001272,Sold,1986-09-17T17:00:00Z,74000,,,0,1444,,Public Record
