property_id,event_name,date,price,price_range_min,price_range_max,price_changed,sqft,datasource_name,source
M4316444951,Price Changed,2020-10-15T17:00:00Z,130000,,,-10000,1140,BrightMLS,MLS #PAPH889952
M4316444951,Listed,2020-07-14T17:00:00Z,140000,,,0,1140,BrightMLS,MLS #PAPH889952
M4316444951,Listed,2020-03-08T17:00:00Z,126000,,,0,1140,BrightMLS,MLS #PAPH880496
M4316444951,Sold,2017-03-10T17:00:00Z,64250,,,0,1140,,Public Record
M4316444951,Sold,2016-11-16T17:00:00Z,27000,,,0,1140,,Public Record
M4316444951,Sold,2007-10-31T17:00:00Z,2000000,,,0,1140,,Public Record
