property_id,event_name,date,price,price_changed,sqft,datasource_name,source
M3100115248,Sold,2020-10-19T17:00:00Z,743580,-11420,2397,BrightMLS,MLS #PAPH913504
M3100115248,Relisted,2020-09-29T17:00:00Z,755000,755000,2397,BrightMLS,MLS #PAPH913504
M3100115248,Listed,2020-07-10T17:00:00Z,755000,0,2397,BrightMLS,MLS #PAPH913504
M3100115248,Price Changed,2020-01-17T17:00:00Z,755000,-44000,2397,BrightMLS,MLS #PAPH844794
M3100115248,Price Changed,2019-11-12T17:00:00Z,799000,-41000,2397,BrightMLS,MLS #PAPH844794
M3100115248,Listed,2019-10-24T17:00:00Z,840000,0,2397,BrightMLS,MLS #PAPH844794
M3100115248,Sold,2016-05-06T17:00:00Z,624990,0,0,BrightMLS,MLS #6624194
M3100115248,Relisted,2015-11-06T17:00:00Z,624990,0,0,BrightMLS,MLS #6624194
M3100115248,Listed,2015-08-09T17:00:00Z,624990,0,0,BrightMLS,MLS #6624194
