property_id,event_name,date,price,price_range_min,price_range_max,price_changed,sqft,datasource_name,source
M3192709653,Price Changed,2020-10-05T17:00:00Z,639900,,,-10000,964,BrightMLS,MLS #PAPH902376
M3192709653,Price Changed,2020-09-25T17:00:00Z,649900,,,-25000,964,BrightMLS,MLS #PAPH902376
M3192709653,Price Changed,2020-07-18T17:00:00Z,674900,,,-10000,964,BrightMLS,MLS #PAPH902376
M3192709653,Listed,2020-06-16T17:00:00Z,684900,,,0,964,BrightMLS,MLS #PAPH902376
M3192709653,Sold,2015-06-01T17:00:00Z,670000,,,0,964,,Public Record
M3192709653,Listed,2014-05-10T17:00:00Z,726000,,,0,964,BrightMLS,MLS #6389349
M3192709653,Price Changed,2014-01-09T17:00:00Z,726000,,,1200,964,BrightMLS,MLS #6157579
M3192709653,Price Changed,2013-03-10T17:00:00Z,724800,,,45000,964,BrightMLS,MLS #6157579
M3192709653,Listed,2013-01-18T17:00:00Z,679800,,,0,964,BrightMLS,MLS #6157579
