property_id,event_name,date,price,price_range_min,price_range_max,price_changed,sqft,datasource_name,source
M3756079451,Listed,2020-07-27T17:00:00Z,299000,,,0,891,BrightMLS,MLS #PAPH919184
M3756079451,Sold,2009-06-10T17:00:00Z,288000,,,0,891,BrightMLS,MLS #5488309
M3756079451,Price Changed,2009-05-19T17:00:00Z,305000,,,-10000,891,BrightMLS,MLS #5488309
M3756079451,Relisted,2009-03-13T17:00:00Z,315000,,,0,891,BrightMLS,MLS #5488309
M3756079451,Listed,2009-02-20T17:00:00Z,305000,,,0,891,BrightMLS,MLS #5488309
