property_id,event_name,date,price,price_range_min,price_range_max,price_changed,sqft,datasource_name,source
M3814507679,Listed,2020-08-04T17:00:00Z,160000,,,0,1312,BrightMLS,MLS #PAPH921880
M3814507679,Relisted,2019-02-05T17:00:00Z,145000,,,145000,1170,BrightMLS,MLS #1009934920
M3814507679,Price Changed,2019-01-07T17:00:00Z,145000,,,-24900,1170,BrightMLS,MLS #1009934920
M3814507679,Listed,2018-10-15T17:00:00Z,169900,,,0,1170,BrightMLS,MLS #1009934920
M3814507679,Listed,2007-11-13T17:00:00Z,129900,,,0,784,BrightMLS,MLS #5194147
M3814507679,Listed,2005-12-13T17:00:00Z,129900,,,0,1170,BrightMLS,MLS #4647641
M3814507679,Listed,2005-03-21T17:00:00Z,129900,,,0,1170,BrightMLS,MLS #4501148
M3814507679,Listed,2005-03-14T17:00:00Z,129900,,,0,0,BrightMLS,MLS #4502549
M3814507679,Sold,1985-09-19T17:00:00Z,23000,,,0,1312,,Public Record
