property_id,event_name,date,price,price_range_min,price_range_max,price_changed,sqft,datasource_name,source
M4832469605,Listed,2020-10-10T17:00:00Z,139000,,,0,1080,BrightMLS,MLS #PAPH941232
M4832469605,Sold,2003-09-16T17:00:00Z,65900,,,0,1080,,Public Record
M4832469605,Sold,2003-08-15T17:00:00Z,65900,,,0,1080,BrightMLS,MLS #4202854
M4832469605,Listed,2003-04-14T17:00:00Z,65900,,,0,1080,BrightMLS,MLS #4202854
M4832469605,Sold,1986-11-18T17:00:00Z,49900,,,0,1080,,Public Record
M4832469605,Sold,1980-10-01T17:00:00Z,29000,,,0,1080,,Public Record
