property_id,event_name,date,price,price_range_min,price_range_max,price_changed,sqft,datasource_name,source
M4452002705,Price Changed,2020-05-13T17:00:00Z,400000,,,-40000,918,BrightMLS,MLS #PAPH875196
M4452002705,Listed,2020-02-26T17:00:00Z,440000,,,0,918,BrightMLS,MLS #PAPH875196
M4452002705,Price Changed,2019-10-31T17:00:00Z,450000,,,-20000,918,BrightMLS,MLS #PAPH821574
M4452002705,Price Changed,2019-10-10T17:00:00Z,470000,,,-10000,918,BrightMLS,MLS #PAPH821574
M4452002705,Price Changed,2019-09-05T17:00:00Z,480000,,,-20000,918,BrightMLS,MLS #PAPH821574
M4452002705,Listed,2019-08-08T17:00:00Z,500000,,,0,918,BrightMLS,MLS #PAPH821574
M4452002705,Sold,2005-05-02T17:00:00Z,500000,,,0,918,BrightMLS,MLS #4490469
M4452002705,Listed,2005-02-28T17:00:00Z,500000,,,0,918,BrightMLS,MLS #4490469
M4452002705,Listed,2004-09-17T17:00:00Z,525000,,,0,918,BrightMLS,MLS #4426800
M4452002705,Listed,2004-02-24T17:00:00Z,520000,,,0,918,BrightMLS,MLS #4325552
M4452002705,Sold,2003-04-24T17:00:00Z,335000,,,0,918,,Public Record
M4452002705,Sold,2003-02-28T17:00:00Z,335000,,,0,918,BrightMLS,MLS #4153468
M4452002705,Listed,2002-11-18T17:00:00Z,335000,,,0,918,BrightMLS,MLS #4153468
M4452002705,Sold,2002-09-18T17:00:00Z,235000,,,0,918,BrightMLS,MLS #4077774
M4452002705,Listed,2002-05-07T17:00:00Z,235000,,,0,918,BrightMLS,MLS #4077774
M4452002705,Sold,1988-10-04T17:00:00Z,115000,,,0,918,,Public Record
M4452002705,Sold,1986-10-17T17:00:00Z,75000,,,0,918,,Public Record
