property_id,event_name,date,price,price_range_min,price_range_max,price_changed,sqft,datasource_name,source
M3458933572,Relisted,2020-06-09T17:00:00Z,549000,,,549000,2304,BrightMLS,MLS #PAPH850836
M3458933572,Price Changed,2020-01-17T17:00:00Z,549000,,,-1000,2304,BrightMLS,MLS #PAPH850836
M3458933572,Listed,2019-11-14T17:00:00Z,550000,,,0,2304,BrightMLS,MLS #PAPH850836
M3458933572,Listed,2018-05-02T17:00:00Z,525000,,,0,2304,BrightMLS,MLS #1000474414
M3458933572,Price Changed,2017-11-09T17:00:00Z,525000,,,-25000,2304,BrightMLS,MLS #1000304309
M3458933572,Price Changed,2017-10-17T17:00:00Z,525000,,,-25000,2304,BrightMLS,MLS #7002845
M3458933572,Listed,2017-06-15T17:00:00Z,550000,,,0,2304,BrightMLS,MLS #1000304309
M3458933572,Listed,2017-06-15T17:00:00Z,550000,,,0,2304,BrightMLS,MLS #7002845
M3458933572,Sold,2012-09-07T17:00:00Z,304000,,,0,2304,,Public Record
M3458933572,Listed,2012-08-21T17:00:00Z,345900,,,0,2304,BrightMLS,MLS #5964030
M3458933572,Sold,2012-08-20T17:00:00Z,305000,,,-40900,2304,BrightMLS,MLS #5964030
M3458933572,Price Changed,2012-04-25T17:00:00Z,345900,,,-30000,2304,BrightMLS,MLS #5964030
M3458933572,Price Changed,2012-02-11T17:00:00Z,375900,,,-14000,2304,BrightMLS,MLS #5964030
M3458933572,Listed,2011-10-24T17:00:00Z,389900,,,0,2304,BrightMLS,MLS #5964030
