property_id,event_name,date,price,price_range_min,price_range_max,price_changed,sqft,datasource_name,source
M4222520774,Price Changed,2020-10-19T17:00:00Z,349000,,,-6000,0,BrightMLS,MLS #PAPH891786
M4222520774,Price Changed,2020-09-22T17:00:00Z,355000,,,-10000,0,BrightMLS,MLS #PAPH891786
M4222520774,Relisted,2020-08-12T17:00:00Z,365000,,,365000,0,BrightMLS,MLS #PAPH891786
M4222520774,Price Changed,2020-06-23T17:00:00Z,355000,,,-4000,0,BrightMLS,MLS #PAPH891786
M4222520774,Listed,2020-05-01T17:00:00Z,359000,,,0,0,BrightMLS,MLS #PAPH891786
M4222520774,Sold,2018-11-14T17:00:00Z,35000,,,-25000,0,BrightMLS,MLS #1002672302
M4222520774,Listed,2018-07-06T17:00:00Z,60000,,,0,0,BrightMLS,MLS #1002672302
M4222520774,Listed,2017-08-15T17:00:00Z,40000,,,0,0,BrightMLS,MLS #1000315235
M4222520774,Listed,2017-08-15T17:00:00Z,40000,,,0,0,BrightMLS,MLS #7043598
M4222520774,Listed,2016-12-06T17:00:00Z,40000,,,0,0,BrightMLS,MLS #6898458
