property_id,event_name,date,price,price_range_min,price_range_max,price_changed,sqft,datasource_name,source
M4244943683,Price Changed,2020-09-14T17:00:00Z,174900,,,-4100,1120,BrightMLS,MLS #PAPH910052
M4244943683,Price Changed,2020-07-31T17:00:00Z,179000,,,-5900,1120,BrightMLS,MLS #PAPH910052
M4244943683,Listed,2020-07-01T17:00:00Z,184900,,,0,1120,BrightMLS,MLS #PAPH910052
M4244943683,Relisted,2018-10-30T17:00:00Z,149000,,,0,1120,BrightMLS,MLS #1007476836
M4244943683,Listed,2018-09-26T17:00:00Z,149000,,,0,1120,BrightMLS,MLS #1007476836
M4244943683,Sold,2012-03-20T17:00:00Z,125000,,,0,1120,,Public Record
M4244943683,Price Changed,2011-10-05T17:00:00Z,124899,,,-1,1120,BrightMLS,MLS #5906103
M4244943683,Price Changed,2011-09-27T17:00:00Z,124900,,,-1600,1120,BrightMLS,MLS #5906103
M4244943683,Price Changed,2011-09-20T17:00:00Z,126500,,,-1396,1120,BrightMLS,MLS #5906103
M4244943683,Price Changed,2011-09-14T17:00:00Z,127896,,,-2000,1120,BrightMLS,MLS #5906103
M4244943683,Price Changed,2011-09-08T17:00:00Z,129896,,,-1,1120,BrightMLS,MLS #5906103
M4244943683,Price Changed,2011-08-11T17:00:00Z,129897,,,-1,1120,BrightMLS,MLS #5906103
M4244943683,Price Changed,2011-07-26T17:00:00Z,129898,,,-1,1120,BrightMLS,MLS #5906103
M4244943683,Price Changed,2011-07-18T17:00:00Z,129899,,,-1,1120,BrightMLS,MLS #5906103
M4244943683,Price Changed,2011-07-05T17:00:00Z,129900,,,-9900,1120,BrightMLS,MLS #5906103
M4244943683,Price Changed,2011-06-28T17:00:00Z,139800,,,-100,1120,BrightMLS,MLS #5906103
M4244943683,Listed,2011-06-20T17:00:00Z,139900,,,0,1120,BrightMLS,MLS #5906103
