property_id,event_name,date,price,price_range_min,price_range_max,price_changed,sqft,datasource_name,source
M4782125761,Price Changed,2020-11-09T17:00:00Z,125000,,,-50000,0,BrightMLS,MLS #PAPH921080
M4782125761,Price Changed,2020-09-10T17:00:00Z,175000,,,-24000,0,BrightMLS,MLS #PAPH921080
M4782125761,Listed,2020-08-01T17:00:00Z,199000,,,0,0,BrightMLS,MLS #PAPH921080
M4782125761,Price Changed,2017-01-10T17:00:00Z,22500,,,-10000,0,BrightMLS,MLS #6866646
M4782125761,Price Changed,2016-10-19T17:00:00Z,32500,,,-4400,0,BrightMLS,MLS #6866646
M4782125761,Listed,2016-09-27T17:00:00Z,36900,,,0,0,BrightMLS,MLS #6866646
M4782125761,Listed,2012-10-20T17:00:00Z,13000,,,0,0,BrightMLS,MLS #6126699
