property_id,event_name,date,price,price_range_min,price_range_max,price_changed,sqft,datasource_name,source
M4048165139,Price Changed,2020-10-07T17:00:00Z,823500,,,-1500,1815,BrightMLS,MLS #PAPH873004
M4048165139,Listed,2020-07-13T17:00:00Z,825000,,,0,1815,BrightMLS,MLS #PAPH873004
M4048165139,Relisted,2019-10-29T17:00:00Z,849000,,,849000,2300,BrightMLS,MLS #PAPH786774
M4048165139,Price Changed,2019-06-26T17:00:00Z,849000,,,-30000,2300,BrightMLS,MLS #PAPH786774
M4048165139,Listed,2019-04-15T17:00:00Z,879000,,,0,2300,BrightMLS,MLS #PAPH786774
M4048165139,Listed,2018-10-21T17:00:00Z,1050000,,,0,1815,BrightMLS,MLS #PAPH102080
M4048165139,Sold,2004-06-29T17:00:00Z,650000,,,0,2300,BrightMLS,MLS #4337552
M4048165139,Listed,2004-03-22T17:00:00Z,650000,,,0,2300,BrightMLS,MLS #4337552
M4048165139,Sold,1999-07-15T17:00:00Z,167000,,,0,1815,,Public Record
M4048165139,Sold,1993-12-28T17:00:00Z,115000,,,0,1815,,Public Record
M4048165139,Sold,1986-11-17T17:00:00Z,121000,,,0,1815,,Public Record
M4048165139,Sold,1984-08-01T17:00:00Z,81000,,,0,1815,,Public Record
