property_id,event_name,date,price,price_range_min,price_range_max,price_changed,sqft,datasource_name,source
M3265497591,Price Changed,2020-10-22T17:00:00Z,282000,,,10000,1335,BrightMLS,MLS #PAPH940306
M3265497591,Listed,2020-10-02T17:00:00Z,272000,,,0,1335,BrightMLS,MLS #PAPH940306
M3265497591,Sold,2017-06-04T17:00:00Z,178000,,,-1000,1050,BrightMLS,MLS #6976754
M3265497591,Price Changed,2017-05-07T17:00:00Z,179000,,,11000,1050,BrightMLS,MLS #6976754
M3265497591,Listed,2017-05-04T17:00:00Z,179000,,,0,1050,BrightMLS,MLS #1003652431
M3265497591,Listed,2017-05-04T17:00:00Z,168000,,,0,1050,BrightMLS,MLS #6976754
M3265497591,Sold,1999-04-22T17:00:00Z,86000,,,0,1335,,Public Record
