property_id,event_name,date,price,price_range_min,price_range_max,price_changed,sqft,datasource_name,source
M4194516413,Price Changed,2020-10-16T17:00:00Z,75000,,,5000,0,BrightMLS,MLS #1000387990
M4194516413,Price Changed,2020-10-03T17:00:00Z,70000,,,20000,0,BrightMLS,MLS #1000387990
M4194516413,Price Changed,2019-10-01T17:00:00Z,50000,,,10000,0,BrightMLS,MLS #1000387990
M4194516413,Price Changed,2019-08-29T17:00:00Z,40000,,,5000,0,BrightMLS,MLS #1000387990
M4194516413,Price Changed,2018-04-12T17:00:00Z,35000,,,5000,0,BrightMLS,MLS #1000387990
M4194516413,Listed,2018-04-11T17:00:00Z,30000,,,0,0,BrightMLS,MLS #1000387990
M4194516413,Listed,2016-10-26T17:00:00Z,25000,,,0,0,BrightMLS,MLS #1000297041
M4194516413,Listed,2016-10-26T17:00:00Z,25000,,,0,0,BrightMLS,MLS #6882113
M4194516413,Listed,2016-09-19T17:00:00Z,25000,,,0,0,BrightMLS,MLS #6865252
M4194516413,Listed,2015-04-23T17:00:00Z,25000,,,0,0,BrightMLS,MLS #6559358
M4194516413,Listed,2014-04-24T17:00:00Z,30000,,,0,0,BrightMLS,MLS #6376767
M4194516413,Listed,2013-03-13T17:00:00Z,30000,,,0,0,BrightMLS,MLS #6192303
M4194516413,Listed,2010-12-20T17:00:00Z,30000,,,0,0,BrightMLS,MLS #5813883
M4194516413,Listed,2009-06-13T17:00:00Z,86480,,,0,0,BrightMLS,MLS #5547994
M4194516413,Listed,2008-06-13T17:00:00Z,86480,,,0,0,BrightMLS,MLS #5369150
M4194516413,Listed,2006-04-12T17:00:00Z,86480,,,0,0,BrightMLS,MLS #4712923
