property_id,event_name,date,price,price_range_min,price_range_max,price_changed,sqft,datasource_name,source
M4505245068,Relisted,2020-10-08T17:00:00Z,99900,,,99900,1120,BrightMLS,MLS #PAPH909204
M4505245068,Price Changed,2020-08-31T17:00:00Z,99900,,,-5000,1120,BrightMLS,MLS #PAPH909204
M4505245068,Price Changed,2020-07-21T17:00:00Z,104900,,,-5000,1120,BrightMLS,MLS #PAPH909204
M4505245068,Listed,2020-06-29T17:00:00Z,109900,,,0,1120,BrightMLS,MLS #PAPH909204
M4505245068,Sold,2005-08-17T17:00:00Z,59900,,,0,1120,,Public Record
M4505245068,Sold,2005-05-31T17:00:00Z,59900,,,0,1120,BrightMLS,MLS #4456027
M4505245068,Listed,2004-11-22T17:00:00Z,59900,,,0,1120,BrightMLS,MLS #4456027
M4505245068,Listed,2004-05-20T17:00:00Z,44900,,,0,1120,BrightMLS,MLS #4367874
M4505245068,Sold,1994-05-27T17:00:00Z,36000,,,0,1120,,Public Record
M4505245068,Sold,1984-12-07T17:00:00Z,21900,,,0,1120,,Public Record
