property_id,event_name,date,price,price_range_min,price_range_max,price_changed,sqft,datasource_name,source
M3052313655,Price Changed,2020-09-29T17:00:00Z,244900,,,-20000,2122,BrightMLS,MLS #PAPH913864
M3052313655,Price Changed,2020-08-09T17:00:00Z,264900,,,-25000,2122,BrightMLS,MLS #PAPH913864
M3052313655,Listed,2020-07-12T17:00:00Z,289900,,,0,2122,BrightMLS,MLS #PAPH913864
M3052313655,Price Changed,2020-06-29T17:00:00Z,314900,,,-20000,2100,BrightMLS,MLS #PAPH899964
M3052313655,Price Changed,2020-06-17T17:00:00Z,334900,,,-15000,2100,BrightMLS,MLS #PAPH899964
M3052313655,Listed,2020-06-01T17:00:00Z,349900,,,0,2100,BrightMLS,MLS #PAPH899964
M3052313655,Listed,2019-03-12T17:00:00Z,29900,,,0,1704,BrightMLS,MLS #PAPH726586
