property_id,event_name,date,price,price_range_min,price_range_max,price_changed,sqft,datasource_name,source
M3194119644,Price Changed,2020-11-01T17:00:00Z,650000,,,-25000,1320,BrightMLS,MLS #PAPH942944
M3194119644,Price Changed,2020-10-18T17:00:00Z,675000,,,-24000,1320,BrightMLS,MLS #PAPH942944
M3194119644,Listed,2020-10-08T17:00:00Z,699000,,,0,1320,BrightMLS,MLS #PAPH942944
M3194119644,Sold,2016-02-27T17:00:00Z,399000,,,0,1320,BrightMLS,MLS #6679815
M3194119644,Price Changed,2016-01-06T17:00:00Z,399000,,,-36000,1320,BrightMLS,MLS #6679815
M3194119644,Price Changed,2015-12-03T17:00:00Z,435000,,,-14000,1320,BrightMLS,MLS #6679815
M3194119644,Listed,2015-12-01T17:00:00Z,449000,,,0,1320,BrightMLS,MLS #6679815
M3194119644,Price Changed,2015-11-18T17:00:00Z,449000,,,-50000,1320,BrightMLS,MLS #6622806
M3194119644,Price Changed,2015-10-19T17:00:00Z,499000,,,-66000,1320,BrightMLS,MLS #6622806
M3194119644,Price Changed,2015-10-12T17:00:00Z,565000,,,-34000,1320,BrightMLS,MLS #6622806
M3194119644,Price Changed,2015-09-17T17:00:00Z,599000,,,-20000,1320,BrightMLS,MLS #6622806
M3194119644,Price Changed,2015-08-24T17:00:00Z,619000,,,-16000,1320,BrightMLS,MLS #6622806
M3194119644,Listed,2015-08-06T17:00:00Z,635000,,,0,1320,BrightMLS,MLS #6622806
