property_id,event_name,date,price,price_range_min,price_range_max,price_changed,sqft,datasource_name,source
M3542655778,Price Changed,2020-08-28T17:00:00Z,375000,,,25000,2754,BrightMLS,MLS #1001797394
M3542655778,Price Changed,2019-12-11T17:00:00Z,350000,,,-45000,2754,BrightMLS,MLS #1001797394
M3542655778,Price Changed,2019-05-20T17:00:00Z,395000,,,-4000,2754,BrightMLS,MLS #1001797394
M3542655778,Relisted,2018-12-11T17:00:00Z,399000,,,-51000,2754,BrightMLS,MLS #1001797394
M3542655778,Price Changed,2018-08-28T17:00:00Z,450000,,,51000,2754,BrightMLS,MLS #1001797394
M3542655778,Price Changed,2018-06-07T17:00:00Z,399000,,,24000,2754,BrightMLS,MLS #1001797394
M3542655778,Listed,2018-06-01T17:00:00Z,375000,,,0,2754,BrightMLS,MLS #1001797394
M3542655778,Price Changed,2017-06-30T17:00:00Z,395000,,,206000,2754,BrightMLS,MLS #6907395
M3542655778,Listed,2017-01-03T17:00:00Z,395000,,,0,2754,BrightMLS,MLS #1000297753
M3542655778,Listed,2017-01-03T17:00:00Z,189000,,,0,2754,BrightMLS,MLS #6907395
M3542655778,Sold,2015-08-07T17:00:00Z,84900,,,0,2754,BrightMLS,MLS #6606520
M3542655778,Price Changed,2015-07-30T17:00:00Z,84900,,,-1000,2754,BrightMLS,MLS #6606520
M3542655778,Price Changed,2015-07-27T17:00:00Z,85900,,,-4000,2754,BrightMLS,MLS #6606520
M3542655778,Price Changed,2015-07-15T17:00:00Z,89900,,,-5000,2754,BrightMLS,MLS #6606520
M3542655778,Listed,2015-07-08T17:00:00Z,94900,,,0,2754,BrightMLS,MLS #6606520
M3542655778,Sold,1991-01-10T17:00:00Z,59900,,,0,2754,,Public Record
