,period_begin,period_end,duration,total_homes_sold,median_sale_price,median_days_to_close,price_drops,percent_active_listings_with_price_drops,pending_sales,total_new_listings,average_new_listings,median_new_listing_price,inventory,total_active_listings,age_of_inventory,homes_delisted,median_active_list_price,avg_offer_to_list,median_days_on_market,months_of_supply,percent_total_price_drops_of_inventory
320923,2018-06-04,2018-06-10,1 weeks,554.0,208000.0,35.0,433.0,0.057108942231601165,512.0,770.0,770.0,209450.0,6848.0,7582.0,49.0,134.0,225500.0,0.965203761755486,33.0,13.685920577617328,0.06323014018691589
320924,2019-04-22,2019-04-28,1 weeks,514.0,199495.0,28.0,475.0,0.06005056890012641,452.0,783.0,783.0,249900.0,7213.0,7910.0,48.0,124.0,244000.0,0.9642364058798718,35.0,15.38910505836576,0.06585332039373354
320925,2017-01-09,2017-01-15,1 weeks,342.0,172000.0,35.0,112.0,0.013131668425372259,239.0,588.0,588.0,180000.0,7992.0,8529.0,97.0,136.0,167000.0,0.9363968128299872,52.5,24.938596491228072,0.014014014014014014
320927,2017-12-04,2017-12-10,1 weeks,420.0,185500.0,30.0,129.0,0.015034965034965037,296.0,455.0,455.0,159999.0,7994.0,8580.0,81.0,181.0,200000.0,0.9681772872932128,47.0,20.428571428571427,0.01613710282712034
320950,2019-10-28,2019-11-03,1 weeks,656.0,209000.0,30.0,547.0,0.0683579105223694,367.0,564.0,564.0,215000.0,7297.0,8002.0,59.0,230.0,248900.0,0.9500929718424106,36.0,12.198170731707316,0.0749623132794299
320953,2017-01-16,2017-01-22,1 weeks,344.0,178000.0,34.5,131.0,0.015431735186712215,240.0,539.0,539.0,196700.0,7972.0,8489.0,96.0,135.0,169694.5,0.9590821464755566,58.0,24.67732558139535,0.016432513798294027
320987,2019-03-25,2019-03-31,1 weeks,630.0,190000.0,28.0,361.0,0.04801808991753126,436.0,755.0,755.0,229450.0,6812.0,7518.0,49.0,130.0,234900.0,0.9976314176256762,44.0,11.933333333333335,0.05299471520845568
320994,2020-06-01,2020-06-07,1 weeks,266.0,253250.0,27.0,256.0,0.037531153789766895,332.0,726.0,726.0,266000.0,6280.0,6821.0,80.0,96.0,263000.0,0.9761488502538384,49.0,25.642857142857146,0.04076433121019108
321000,2019-01-21,2019-01-27,1 weeks,250.0,170525.0,35.0,301.0,0.045127436281859085,226.0,554.0,554.0,206950.0,6229.0,6670.0,77.0,123.0,209900.0,0.9851298628396437,43.0,26.68,0.048322363140150905
321001,2019-01-07,2019-01-13,1 weeks,329.0,195000.0,35.0,362.0,0.05627234571739469,196.0,533.0,533.0,190099.5,6047.0,6433.0,79.0,107.0,209000.0,0.9440148767783259,37.0,19.553191489361698,0.059864395568050274
